Timestamp,Step,Label,From (m),To (m),FromY_center (m),ToY_center (m),Direction,Action,FarmType,Status,SegDist (m),TotalDist (m),SownDist (m),VSownSegs,HSownSegs
2025-06-02 14:29:32.857,1,HPath1_Unsown,"(5.0, 55.0)","(15.0, 55.0)",55.0,55.0,EAST,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,10.0,0.0,0,0
2025-06-02 14:29:34.150,2,VPath2_Unsown,"(15.0, 55.0)","(15.0, 45.0)",55.0,45.0,SOUTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,20.0,0.0,0,0
2025-06-02 14:29:35.482,3,VRow1,"(15.0, 45.0)","(15.0, 15.0)",45.0,15.0,SOUTH,INNER_VERTICAL_FARMING,CROP_PLANTING_V,SOWING_VERTICALLY,30.0,50.0,30.0,1,0
2025-06-02 14:29:36.907,4,VPath4_Unsown,"(15.0, 15.0)","(15.0, 5.0)",15.0,5.0,SOUTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,60.0,30.0,1,0
2025-06-02 14:29:38.179,5,HPath5_Unsown,"(15.0, 5.0)","(25.0, 5.0)",5.0,5.0,EAST,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,70.0,30.0,1,0
2025-06-02 14:29:39.572,6,VPath6_Unsown,"(25.0, 5.0)","(25.0, 15.0)",5.0,15.0,NORTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,80.0,30.0,1,0
2025-06-02 14:29:41.000,7,VRow2,"(25.0, 15.0)","(25.0, 45.0)",15.0,45.0,NORTH,INNER_VERTICAL_FARMING,CROP_PLANTING_V,SOWING_VERTICALLY,30.0,110.0,60.0,2,0
2025-06-02 14:29:42.346,8,VPath8_Unsown,"(25.0, 45.0)","(25.0, 55.0)",45.0,55.0,NORTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,120.0,60.0,2,0
2025-06-02 14:29:43.753,9,HPath9_Unsown,"(25.0, 55.0)","(35.0, 55.0)",55.0,55.0,EAST,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,130.0,60.0,2,0
2025-06-02 14:29:45.160,10,VPath10_Unsown,"(35.0, 55.0)","(35.0, 45.0)",55.0,45.0,SOUTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,140.0,60.0,2,0
2025-06-02 14:29:46.758,11,VRow3,"(35.0, 45.0)","(35.0, 15.0)",45.0,15.0,SOUTH,INNER_VERTICAL_FARMING,CROP_PLANTING_V,SOWING_VERTICALLY,30.0,170.0,90.0,3,0
2025-06-02 14:29:48.207,12,VPath12_Unsown,"(35.0, 15.0)","(35.0, 5.0)",15.0,5.0,SOUTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,180.0,90.0,3,0
2025-06-02 14:29:49.673,13,HPath13_Unsown,"(35.0, 5.0)","(45.0, 5.0)",5.0,5.0,EAST,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,190.0,90.0,3,0
2025-06-02 14:29:51.165,14,VPath14_Unsown,"(45.0, 5.0)","(45.0, 15.0)",5.0,15.0,NORTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,200.0,90.0,3,0
2025-06-02 14:29:52.778,15,VRow4,"(45.0, 15.0)","(45.0, 45.0)",15.0,45.0,NORTH,INNER_VERTICAL_FARMING,CROP_PLANTING_V,SOWING_VERTICALLY,30.0,230.0,120.0,4,0
2025-06-02 14:29:54.135,16,VPath16_Unsown,"(45.0, 45.0)","(45.0, 55.0)",45.0,55.0,NORTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,240.0,120.0,4,0
2025-06-02 14:29:55.634,17,HRow2,"(45.0, 55.0)","(5.0, 55.0)",55.0,55.0,WEST,BOUNDARY_HORIZONTAL_FARMING,PERIMETER_SOWING_H,SOWING_HORIZONTALLY,40.0,280.0,160.0,4,1
2025-06-02 14:29:57.147,18,HPath18_Sown,"(5.0, 55.0)","(55.0, 55.0)",55.0,55.0,EAST,BOUNDARY_HORIZONTAL_FARMING,PERIMETER_SOWING_H,SOWING_HORIZONTALLY,50.0,330.0,210.0,4,2
2025-06-02 14:29:58.793,19,Boundary_V_Lane5,"(55.0, 55.0)","(55.0, 35.0)",55.0,35.0,SOUTH,BOUNDARY_VERTICAL_FARMING,PERIMETER_SOWING_V,SOWING_VERTICALLY,20.0,350.0,230.0,5,2
2025-06-02 14:30:00.356,20,VPath20_Unsown,"(55.0, 35.0)","(55.0, 25.0)",35.0,25.0,SOUTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,10.0,360.0,230.0,5,2
2025-06-02 14:30:02.048,21,VPath21_Unsown,"(55.0, 25.0)","(55.0, 5.0)",25.0,5.0,SOUTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,20.0,380.0,230.0,5,2
2025-06-02 14:30:03.667,22,VPath22_Unsown,"(55.0, 5.0)","(55.0, 25.0)",5.0,25.0,NORTH,NAVIGATION_UNSOWN,NONE,TRAVERSING_NO_SOW,20.0,400.0,230.0,5,2
2025-06-02 14:30:05.379,FINAL,MissionEnd,"(55.0, 25.0)",,,,,,,COMPLETED,34.18,400.0,230.0,5,2
